descripcion,presentacion,CODIGO,Precio Final,Precio Comp,LÃ­nea,PresentaciÃ³n,Envase,Principio Activo,PresentaciÃ³nedwerwer,CÃ³digo,EAN 13,Producto,Unnamed: 5,DROGUERIA,DROGUERIA.1,SUGERIDO,Cert.,PresentaciÃ³ncaca,codigo,descripcionhgdf,Unnamed: 2,descripcion_presentacion
AMINOTERAPIA EFERV COMP X 30,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AMINOTERAPIA EFERV COMP X 30 
AMINOTERAPIA X 30 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AMINOTERAPIA X 30 COMP 
AMINOTERAPIA X 90 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AMINOTERAPIA X 90 COMP 
AQUATOP Crema x 250 gr,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,AQUATOP Crema x 250 gr 
ASOLMICINA DOX 100 MG X 15 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,ASOLMICINA DOX 100 MG X 15 COMP. 
ASOLMICINA DOX 100 MG X 30 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,ASOLMICINA DOX 100 MG X 30 COMP. 
BIOTIN A 5 MG X 30 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,BIOTIN A 5 MG X 30 COMP. 
BLACOR CREMA,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,BLACOR CREMA 
CICATUL N.F. CREMA X 30 GR,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,CICATUL N.F. CREMA X 30 GR 
CICATUL N.F. GASAS MONOD. X 10,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,CICATUL N.F. GASAS MONOD. X 10 
CLOBEPLUS CREMA X 20 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,CLOBEPLUS CREMA X 20 G 
CREMSOR CREMA,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,CREMSOR CREMA 
DERMOPER-O 5% CREMA X 100 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DERMOPER-O 5% CREMA X 100 G 
DEXAMERAL 4 MG X 10 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DEXAMERAL 4 MG X 10 COMP. 
DEXAMERAL 4 MG X 20 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DEXAMERAL 4 MG X 20 COMP. 
DONIQ 0.3% GEL X 30 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DONIQ 0.3% GEL X 30 G 
DONIQ DUO GEL  X 45 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DONIQ DUO GEL  X 45 G 
DONIQ X 30 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,DONIQ X 30 G 
FLEXRESAN 10 mg  x 30 CAPS,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,FLEXRESAN 10 mg  x 30 CAPS 
FLEXRESAN X 30 CAPS. (2 X 1),,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,FLEXRESAN X 30 CAPS. (2 X 1) 
FLUZOL 150 MG X 4 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,FLUZOL 150 MG X 4 COMP. 
FOLIUM CR LUBRICANTE X 60 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,FOLIUM CR LUBRICANTE X 60 G 
GELBIOTIC CREMA X 15 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,GELBIOTIC CREMA X 15 G 
GELBIOTIC PLUS X 15 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,GELBIOTIC PLUS X 15 G 
KEDUO CREMA X 15 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,KEDUO CREMA X 15 G 
KEDUO SHAMPOO 2 % X 100 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,KEDUO SHAMPOO 2 % X 100 ML 
LACTIBON BARRA X 120 MG,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,LACTIBON BARRA X 120 MG 
LACTIBON LOCION X 120 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,LACTIBON LOCION X 120 ML 
MEIBI 100 MG X 30 COMP.REC.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,MEIBI 100 MG X 30 COMP.REC. 
MEIBI 50 MG X 30 COMP.REC.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,MEIBI 50 MG X 30 COMP.REC. 
MENCOGRIN ANTICASPA CH X 120 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,MENCOGRIN ANTICASPA CH X 120 ML 
MENCOGRIN AP CHAMPU X 120 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,MENCOGRIN AP CHAMPU X 120 ML 
PANCUTAN GEL NF x 20 gr,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,PANCUTAN GEL NF x 20 gr 
ROSATINA 1% CREMA X 30 GR,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,ROSATINA 1% CREMA X 30 GR 
SALIMIDIN 100 MG X 15 CAPS.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SALIMIDIN 100 MG X 15 CAPS. 
SALIMIDIN 100 MG X 30 CAPS.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SALIMIDIN 100 MG X 30 CAPS. 
SALIMIDIN 200 MG X 14 CAPS,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SALIMIDIN 200 MG X 14 CAPS 
SALIMIDIN 200 MG X 21 CAPS,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SALIMIDIN 200 MG X 21 CAPS 
SALIMIDIN 200 MG X 7 CAPS,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SALIMIDIN 200 MG X 7 CAPS 
SEBOCLEAR 100 X 10 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SEBOCLEAR 100 X 10 COMP 
SEBOCLEAR 100 X 30 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SEBOCLEAR 100 X 30 COMP 
SEBOCLEAR X 10 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SEBOCLEAR X 10 COMP 
SEBOCLEAR X 30 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SEBOCLEAR X 30 COMP 
SECURO X 2 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SECURO X 2 COMP 
SECURO X 6 COMP,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SECURO X 6 COMP 
STOPALER 10 MG X 10 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,STOPALER 10 MG X 10 COMP. 
STOPALER 10 MG X 20 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,STOPALER 10 MG X 20 COMP. 
SUTRICO 1 MG X 30 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SUTRICO 1 MG X 30 COMP. 
SUTRICO TAR SHAMPOO X 100 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,SUTRICO TAR SHAMPOO X 100 ML 
TACNA 250 MG X 14 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TACNA 250 MG X 14 COMP. 
TACNA 250 MG X 28 COMP.,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TACNA 250 MG X 28 COMP. 
TERSODERM CH CAB DELI 260 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TERSODERM CH CAB DELI 260 ML 
TERSODERM CH CAB GRASOS 260 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TERSODERM CH CAB GRASOS 260 ML 
TERSODERM RESTAU CAP 260 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TERSODERM RESTAU CAP 260 ML 
TRATACNE GEL X 15 G,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TRATACNE GEL X 15 G 
TRICOPLUS 5 LOC CAPILAR X 60 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TRICOPLUS 5 LOC CAPILAR X 60 ML 
TRICOPLUS LOC CAPILAR X 60 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,TRICOPLUS LOC CAPILAR X 60 ML 
UMBRELLA INTELLIGENT X 50 GR,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,UMBRELLA INTELLIGENT X 50 GR 
UMBRELLA PIEL SENSIBLE crema x 60 gr,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,UMBRELLA PIEL SENSIBLE crema x 60 gr 
"VIROSUPRIL 3,75 % CREMA",,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,"VIROSUPRIL 3,75 % CREMA "
VIROSUPRIL CREMA X 5 GR,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,VIROSUPRIL CREMA X 5 GR 
VITIX GEL X 30 ML,,,,,FAZ DIV. DERMATOLOGÃA,,,,,,,,,,,,,,,,,VITIX GEL X 30 ML 
ALACIR 30 MG X 10 COMP. RECUB.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ALACIR 30 MG X 10 COMP. RECUB. 
ALACIR 60 MG X 30 COMP. RECUB.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ALACIR 60 MG X 30 COMP. RECUB. 
ANILAR 100 MG X 30 COMP. RECUB.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ANILAR 100 MG X 30 COMP. RECUB. 
ANILAR 50 MG X 30 COMP. RECUB.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ANILAR 50 MG X 30 COMP. RECUB. 
APSICO 10 MG X 28 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,APSICO 10 MG X 28 COMP.REC. 
"APSICO 2,5 MG X 28 COMP.REC.",,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,"APSICO 2,5 MG X 28 COMP.REC. "
APSICO 5 MG X 28 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,APSICO 5 MG X 28 COMP.REC. 
"AROLTEX 0,25 MG COMP X 30",,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,"AROLTEX 0,25 MG COMP X 30 "
"AROLTEX 0,25 MG COMP X 60",,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,"AROLTEX 0,25 MG COMP X 60 "
AROLTEX 1 GR COMP x 30,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,AROLTEX 1 GR COMP x 30 
AROLTEX 1 GR COMP x 60,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,AROLTEX 1 GR COMP x 60 
ATIPINA 100 MG X 30 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ATIPINA 100 MG X 30 COMP.REC. 
ATIPINA 200 MG X 30 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ATIPINA 200 MG X 30 COMP.REC. 
ATIPINA 25 MG X 30 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ATIPINA 25 MG X 30 COMP.REC. 
DORPLEN 3 MG COMP REC X 30,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,DORPLEN 3 MG COMP REC X 30 
ESCITEROKAM 10 MG X 30 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ESCITEROKAM 10 MG X 30 COMP.REC. 
ESCITEROKAM 20 MG X 30 COMP.REC.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ESCITEROKAM 20 MG X 30 COMP.REC. 
FENTINA 10 MG X 30 COMP.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,FENTINA 10 MG X 30 COMP. 
FORCILIN comp x 10,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,FORCILIN comp x 10 
FORCILIN comp x 20,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,FORCILIN comp x 20 
ONEFIN 10 MG X 28 COMP.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ONEFIN 10 MG X 28 COMP. 
ONEFIN 5 MG X 28 COMP.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,ONEFIN 5 MG X 28 COMP. 
PAMOXET 20 MG X 30 COMP.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PAMOXET 20 MG X 30 COMP. 
PAMOXET 40 MG X 30 COMP.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PAMOXET 40 MG X 30 COMP. 
PREBANAL 150 MG X 28 CAPS.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PREBANAL 150 MG X 28 CAPS. 
PREBANAL 25 MG X 28 CAPS.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PREBANAL 25 MG X 28 CAPS. 
PREBANAL 50 MG X 28 CAPS.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PREBANAL 50 MG X 28 CAPS. 
PREBANAL 75 MG X 14 CAPS.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PREBANAL 75 MG X 14 CAPS. 
PREBANAL 75 MG X 28 CAPS.,,,,,FB1 DIV. SNC (Sist.Nerv.Cent. ),,,,,,,,,,,,,,,,,PREBANAL 75 MG X 28 CAPS. 
AMINOTERAPIA ADVANCED COMP X 30,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,AMINOTERAPIA ADVANCED COMP X 30 
AMINOTERAPIA ADVANCED COMP X 60,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,AMINOTERAPIA ADVANCED COMP X 60 
AMINOTERAPIA ADVANCED SHAMPOO,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,AMINOTERAPIA ADVANCED SHAMPOO 
FRAMINTROL ENERGY X 30 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,FRAMINTROL ENERGY X 30 COMP 
FRAMINTROL ENERGY X 60 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,FRAMINTROL ENERGY X 60 COMP 
FRAMINTROL X 30 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,FRAMINTROL X 30 COMP 
FRAMINTROL X 60 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,FRAMINTROL X 60 COMP 
RESVERATROL X 20 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,RESVERATROL X 20 COMP 
TANVIMIL ISOFLA CAL D3 X 30,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,TANVIMIL ISOFLA CAL D3 X 30 
TANVIMIL ISOFLA CREM X 50 ML,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,TANVIMIL ISOFLA CREM X 50 ML 
TANVIMIL ISOFLAVONAS COMP X 30,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,TANVIMIL ISOFLAVONAS COMP X 30 
TANVIMIL ISOFLAVONAS COMP X 60,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,TANVIMIL ISOFLAVONAS COMP X 60 
CIRUELAX JALEA x 300 G,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,CIRUELAX JALEA x 300 G 
CIRUELAX JALEA x 600 G,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,CIRUELAX JALEA x 600 G 
CIRUELAX FORTE x 24 comp,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,CIRUELAX FORTE x 24 comp 
CIRUELAX MINITABS  x 20 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,CIRUELAX MINITABS  x 20 COMP 
CIRUELAX MINITABS x 60 COMP,,,,,FDA DIV. OTC,,,,,,,,,,,,,,,,,CIRUELAX MINITABS x 60 COMP 
LAXIRUELA CIRUELA FIBRA X 300 G,,,,,FDB DIV. GH,,,,,,,,,,,,,,,,,LAXIRUELA CIRUELA FIBRA X 300 G 
LAXIRUELA CIRUELA FIBRA X 600 G,,,,,FDB DIV. GH,,,,,,,,,,,,,,,,,LAXIRUELA CIRUELA FIBRA X 600 G 
LAXIRUELA FORTE X 24 COMP,,,,,FDB DIV. GH,,,,,,,,,,,,,,,,,LAXIRUELA FORTE X 24 COMP 
LAXIRUELA MINITABS X 20 COMP,,,,,FDB DIV. GH,,,,,,,,,,,,,,,,,LAXIRUELA MINITABS X 20 COMP 
LAXIRUELA MINITABS X 60 COMP 8,,,,,FDB DIV. GH,,,,,,,,,,,,,,,,,LAXIRUELA MINITABS X 60 COMP 8 
AFONISAN X 10 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,AFONISAN X 10 COMP. 
AFONISAN X 20 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,AFONISAN X 20 COMP. 
ANGINOTRAT X 10 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,ANGINOTRAT X 10 COMP. 
ANGINOTRAT X 20 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,ANGINOTRAT X 20 COMP. 
CALCITRIOL MEGALABS CAPS. X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,CALCITRIOL MEGALABS CAPS. X 30 
CICATUL N.F. CREMA VAGINAL X 60 G,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,CICATUL N.F. CREMA VAGINAL X 60 G 
CICATUL N.F. OVULOS X 6,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,CICATUL N.F. OVULOS X 6 
COLPOSAN comp vag x 7 (*),,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,COLPOSAN comp vag x 7 (*) 
FACTOFER B12 COMP. REC. X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,FACTOFER B12 COMP. REC. X 20 
FACTOFER B12 COMP. REC. X 50,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,FACTOFER B12 COMP. REC. X 50 
FACTOFER GTAS X 20 ML,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,FACTOFER GTAS X 20 ML 
HIERROQUICK 40 MG X 20 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIERROQUICK 40 MG X 20 COMP. 
HIERROQUICK 40 MG X 40 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIERROQUICK 40 MG X 40 COMP. 
HIERROQUICK 80 MG X 20 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIERROQUICK 80 MG X 20 COMP. 
HIERROQUICK 80 MG X 40 COMP.,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIERROQUICK 80 MG X 40 COMP. 
HIFAMONIL CREMA X 20 G,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIFAMONIL CREMA X 20 G 
HIFAMONIL POLVO X 100 G,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIFAMONIL POLVO X 100 G 
HIFAMONIL SOBRES X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIFAMONIL SOBRES X 20 
HIFAMONIL SOBRES X 8,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIFAMONIL SOBRES X 8 
HIPERMET 250 MG X 50 COMP,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIPERMET 250 MG X 50 COMP 
HIPERMET 500 MG X 40 COMP,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HIPERMET 500 MG X 40 COMP 
HONGUIL CAPS GINECO X 1,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HONGUIL CAPS GINECO X 1 
HONGUIL PLUS CAPS X 1,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HONGUIL PLUS CAPS X 1 
HONGUIL PLUS CAPS X 2,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HONGUIL PLUS CAPS X 2 
HONGUIL PLUS CAPS X 4,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HONGUIL PLUS CAPS X 4 
HONGUIL PLUS CAPS X 8,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,HONGUIL PLUS CAPS X 8 
LACTIBON OVULOS X 7,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,LACTIBON OVULOS X 7 
MAFEL 200  CAPS X 28,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,MAFEL 200  CAPS X 28 
MAFEL 200  CAPS X 42,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,MAFEL 200  CAPS X 42 
MAFEL 200 CAPS X 14,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,MAFEL 200 CAPS X 14 
MAFEL CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,MAFEL CAPS X 30 
PROMECLIM COMP VAGINALES X 10,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,PROMECLIM COMP VAGINALES X 10 
PROMECLIM COMP VAGINALES X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,PROMECLIM COMP VAGINALES X 20 
SUMAL COMP.REC.X 10,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,SUMAL COMP.REC.X 10 
SUMAL COMP.REC.X 20,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,SUMAL COMP.REC.X 20 
TANDIUR COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANDIUR COMP X 30 
TANVIMIL A 100.000 UI CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL A 100.000 UI CAPS X 30 
TANVIMIL A 50000 UI CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL A 50000 UI CAPS X 30 
TANVIMIL A 50000 UI CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL A 50000 UI CAPS X 60 
TANVIMIL ACD FLUOR GTAS X 30 ML,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL ACD FLUOR GTAS X 30 ML 
TANVIMIL ACD GTAS X 20 ML,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL ACD GTAS X 20 ML 
TANVIMIL AMINOACIDOS COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL AMINOACIDOS COMP X 30 
TANVIMIL B1 B6 B12 X 30 COMP,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL B1 B6 B12 X 30 COMP 
TANVIMIL B6 COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL B6 COMP X 30 
TANVIMIL B6 COMP X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL B6 COMP X 60 
TANVIMIL D GTAS X 10 ML,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL D GTAS X 10 ML 
TANVIMIL E 1000 CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 1000 CAPS X 30 
TANVIMIL E 1000 CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 1000 CAPS X 60 
TANVIMIL E 200 CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 200 CAPS X 30 
TANVIMIL E 200 CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 200 CAPS X 60 
TANVIMIL E 200 CAPS X 90,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 200 CAPS X 90 
TANVIMIL E 400 CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 400 CAPS X 30 
TANVIMIL E 400 CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL E 400 CAPS X 60 
TANVIMIL EB6A CAPS X 100,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL EB6A CAPS X 100 
TANVIMIL EB6A CAPS X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL EB6A CAPS X 30 
TANVIMIL EB6A CAPS X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL EB6A CAPS X 60 
TANVIMIL FOLICO 1 MG COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 1 MG COMP X 30 
TANVIMIL FOLICO 1 MG COMP X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 1 MG COMP X 60 
TANVIMIL FOLICO 10 MG COMP X30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 10 MG COMP X30 
TANVIMIL FOLICO 10 MG COMP X60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 10 MG COMP X60 
TANVIMIL FOLICO 5 MG COMP X 30,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 5 MG COMP X 30 
TANVIMIL FOLICO 5 MG COMP X 60,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO 5 MG COMP X 60 
TANVIMIL FOLICO GOTAS X 10 ML,,,,,FE  DIV.GENERAL,,,,,,,,,,,,,,,,,TANVIMIL FOLICO GOTAS X 10 ML 
